emojis,categories,category_rating,category_count,baseline_rating,total_count,rating_shift
😂,Horror,4.224137931034483,58,4.607876712328767,584,-0.3837387812942836
😂,Sci-Fi,4.34375,32,4.607876712328767,584,-0.2641267123287667
😂,Thriller,4.0,51,4.607876712328767,584,-0.6078767123287667
😃,Action,4.926829268292683,41,4.8754098360655735,305,0.05141943222710932
😃,Comedy,4.835820895522388,67,4.8754098360655735,305,-0.039588940543185736
😃,Drama,4.769230769230769,52,4.8754098360655735,305,-0.10617906683480438
😃,Family,5.0,20,4.8754098360655735,305,0.12459016393442646
😃,Thriller,4.818181818181818,22,4.8754098360655735,305,-0.0572280178837552
😄,Comedy,4.9375,48,4.865979381443299,194,0.07152061855670144
😄,Drama,4.857142857142857,28,4.865979381443299,194,-0.008836524300441795
😅,Comedy,4.761904761904762,21,4.69620253164557,79,0.06570223025919208
😆,Comedy,4.823529411764706,51,4.7272727272727275,176,0.0962566844919781
😉,Action,4.72093023255814,43,4.829721362229102,323,-0.10879112967096205
😉,Comedy,4.840909090909091,44,4.829721362229102,323,0.011187728679988851
😉,Drama,4.788732394366197,71,4.829721362229102,323,-0.04098896786290496
😉,Horror,4.84,25,4.829721362229102,323,0.01027863777089788
😉,Sci-Fi,4.5,30,4.829721362229102,323,-0.329721362229102
😉,Thriller,4.90625,32,4.829721362229102,323,0.07652863777089802
😊,Action,4.798165137614679,109,4.8726899383983575,974,-0.07452480078367874
😊,Adventure,4.857142857142857,21,4.8726899383983575,974,-0.01554708125550075
😊,Animation,4.944444444444445,36,4.8726899383983575,974,0.07175450604608713
😊,Comedy,4.864864864864865,185,4.8726899383983575,974,-0.0078250735334926
😊,Drama,4.836956521739131,184,4.8726899383983575,974,-0.03573341665922669
😊,Family,4.861538461538461,65,4.8726899383983575,974,-0.01115147685989637
😊,Fantasy,4.825,40,4.8726899383983575,974,-0.047689938398357334
😊,Horror,4.903225806451613,31,4.8726899383983575,974,0.030535868053255477
😊,Romance,4.85,20,4.8726899383983575,974,-0.022689938398357867
😊,Sci-Fi,4.841269841269841,63,4.8726899383983575,974,-0.031420097128516566
😊,Thriller,4.613636363636363,44,4.8726899383983575,974,-0.2590535747619942
😍,Action,4.946428571428571,56,4.907949790794979,478,0.038478780633592
😍,Animation,4.863636363636363,22,4.907949790794979,478,-0.04431342715861586
😍,Comedy,4.881578947368421,76,4.907949790794979,478,-0.026370843426557933
😍,Drama,4.8979591836734695,98,4.907949790794979,478,-0.009990607121509676
😍,Fantasy,4.904761904761905,21,4.907949790794979,478,-0.003187886033074072
😍,Horror,4.903225806451613,31,4.907949790794979,478,-0.004723984343366183
😍,Sci-Fi,4.931034482758621,29,4.907949790794979,478,0.023084691963641824
😍,Thriller,4.852941176470588,34,4.907949790794979,478,-0.0550086143243913
😎,Action,4.877551020408164,49,4.81524926686217,341,0.06230175354599332
😎,Comedy,4.673076923076923,52,4.81524926686217,341,-0.1421723437852469
😎,Drama,4.64,50,4.81524926686217,341,-0.17524926686217057
😎,Thriller,4.541666666666667,24,4.81524926686217,341,-0.2735826001955033
😘,Drama,4.92,25,4.891891891891892,74,0.02810810810810782
😞,Action,1.92,25,2.59375,160,-0.6737500000000001
😞,Comedy,2.772727272727273,22,2.59375,160,0.17897727272727293
😞,Drama,3.259259259259259,27,2.59375,160,0.6655092592592591
😡,Action,1.5333333333333334,30,1.611353711790393,229,-0.07802037845705967
😡,Comedy,1.2380952380952381,21,1.611353711790393,229,-0.37325847369515497
😡,Drama,1.9615384615384615,26,1.611353711790393,229,0.35018474974806835
😢,Drama,3.8,35,3.1769230769230767,130,0.6230769230769231
😭,Drama,4.5,26,3.7559055118110236,127,0.7440944881889764
😳,Drama,3.4166666666666665,24,3.782051282051282,78,-0.3653846153846154
🙂,Action,4.838709677419355,31,4.739644970414201,169,0.09906470700515424
🙂,Comedy,4.619047619047619,21,4.739644970414201,169,-0.12059735136658212
🙂,Drama,4.586206896551724,29,4.739644970414201,169,-0.15343807386247654
🙄,Drama,3.1,20,2.6161616161616164,99,0.48383838383838373
🙄,Horror,2.4,20,2.6161616161616164,99,-0.21616161616161644
🤔,Drama,3.4545454545454546,22,3.7685185185185186,108,-0.313973063973064
🤗,Comedy,5.0,24,4.921428571428572,140,0.07857142857142829
🤗,Drama,5.0,31,4.921428571428572,140,0.07857142857142829
🤣,Comedy,4.9113924050632916,79,4.540650406504065,246,0.3707419985592262
🤣,Drama,3.72972972972973,37,4.540650406504065,246,-0.8109206767743355
🤣,Horror,3.7941176470588234,34,4.540650406504065,246,-0.746532759445242
🤣,Thriller,3.46875,32,4.540650406504065,246,-1.0719004065040654
🥰,Comedy,5.0,28,4.951807228915663,166,0.04819277108433706
🥰,Drama,5.0,46,4.951807228915663,166,0.04819277108433706
